Num. Nodes,Num. Parallel Edges,Num. Src/Sinks,Min. Target Flow,Optimal MILP Value,Relaxed LP Value,ACO 1,ACO 2,ACO 3,ACO 4,ACO 5,ACO 6,ACO 7,ACO 8,ACO 9,ACO 10,Avg. ACO Value,Optimality Gap
230,1,5,500,369785.6408,369912.6243,447354.0123,463607.1422,457905.1493,449796.4487,478163.9367,436611.2517,436688.1156,428054.5656,448587.0832,471113.0874,451788.0793,22.18
33,1,5,500,339506.7536,340168.3135,417089.0743,423167.6622,426132.6162,415994.7716,415695.2653,423975.2135,430459.3389,422741.8696,411876.9507,418348.585,420548.1347,23.87
316,1,10,1000,857115.1723,863742.1162,1336958.626,1214290.535,1353010.9,1212970.056,1316447.984,1320016.115,1327870.28,1272419.808,1333445.093,1294341.805,1298177.12,51.46
210,1,1,100,106253.7266,106253.7279,106253.7266,106253.7266,106253.7266,106253.7266,106253.7266,106253.7266,106714.5604,106253.7266,106253.7266,106253.7266,106299.81,0.04
103,1,1,100,83848.32495,83848.32636,83848.32495,83848.32495,83848.32495,83848.32495,83848.32495,83848.32495,83848.32495,83848.32495,83848.32495,83848.32495,83848.32495,0.00
57,1,10,1000,667510.5974,671502.2402,734475.5385,710654.1661,723602.9894,736559.6624,731688.4368,720280.2153,720855.3381,722288.2697,730394.0299,735214.3936,726601.304,8.85
235,1,1,100,127771.3349,127771.2437,127771.3349,138931.3777,139673.6429,140759.8729,137565.6537,137565.6537,127771.3349,139154.1367,148203.8566,139936.5986,137733.3463,7.80
300,1,5,500,492561.5468,495005.3387,865282.996,834695.2276,848336.8699,811287.2034,883762.1468,886842.2916,838742.1714,820055.5727,811887.2684,727953.5398,832884.5288,69.09
211,1,5,500,359067.4736,359880.5796,417227.3961,407371.0027,397377.7558,435445.4616,390993.0629,380243.854,436692.1939,406487.5818,409036.3534,427543.5845,410841.8247,14.42
303,1,5,500,483574.3321,487271.6241,812587.6861,783830.231,923407.8177,861630.9462,856534.0186,809541.6634,862631.6585,820765.9773,838299.7807,812979.9331,838220.9713,73.34
76,1,5,500,404182.5204,408995.5617,554107.935,525385.1273,490438.6421,531026.6638,578638.1668,527111.9379,528806.985,554354.3785,546655.5831,532302.7851,536882.8205,32.83
376,1,10,1000,694227.5802,696412.3719,1145993.732,1220480.609,1117795.406,1214561.109,1060919.305,1144154.465,1243876.555,1115726.112,1156541.21,1060590.849,1148063.935,65.37
362,1,10,1000,728153.1007,728300.6744,1603161.202,1414125.964,1538889.892,1479792.525,1527886.109,1610481.556,1552309.586,1521381.174,1556510.19,1552988.882,1535752.708,110.91
